weight,trajectory,pos_mm_mean,pos_mm_p95,pos_mm_max,ori_deg_mean,ori_deg_p95,solve_ms_mean,solve_ms_p95,solve_ms_max,iters_mean,config_jumps,jerk_rms,vel_max,nonconverged_frac,limit_violation_frac,limit_margin_min,manip_hands_min,manip_hands_mean,self_clearance_min_mm,recovery_ms,end_pos_err_mm,miss_frac
0.0,near_singular,6.581541356354137e-05,0.00013374777552144224,0.00021519799986435828,6.0639135881501716e-06,1.448901639378164e-05,10.242742635212684,17.97533804492559,25.02301399363205,4.03,0,0.17186366021633148,0.3949850797653198,0.0,0.0,0.5456215143203735,0.008588951081037521,0.02207217924296856,5.7414398193359375,,,0.0
0.0,reach_limit,0.9638175833970308,6.788214202970266,26.719894260168076,0.10160768777132034,0.7358070015907288,8.994959383077608,18.787398585118353,35.72317503858358,5.586666666666667,8,839.1546630859375,7.4102702140808105,0.0,0.0,0.3814743757247925,0.017068885266780853,0.029700014740228653,-127.08574676513672,120.0,2.3853499442338943e-05,0.02
0.0,teleop_grasp_yaw,20.418036729097366,38.514457643032074,38.61552104353905,9.135218620300293,18.685165405273438,35.87953511140464,68.64769572857767,185.69129199022427,25.596666666666668,11,821.5294189453125,25.50472640991211,0.006666666666666667,0.5066666666666667,-8.58306884765625e-06,0.016731388866901398,0.02542344480752945,-69.58667755126953,,,0.5766666666666667
0.0,self_fold,3.927744459360838,39.00187462568283,42.367108166217804,0.05759233981370926,0.4485333263874054,35.792180686839856,132.26632282021455,163.4000160265714,22.726666666666667,0,313.4884338378906,1.8868446350097656,0.043333333333333335,0.16166666666666665,-0.000992417335510254,0.0016655479557812214,0.03298533707857132,-157.1348876953125,,,0.115
0.0,trans_lissajous,6.474148506185884e-05,0.00012731557319511921,0.00020267771105864085,7.1358690547640435e-06,1.4589287275157403e-05,18.440498172486613,27.428237884305414,86.53348503867164,6.56,18,162.4285125732422,15.292829513549805,0.0,0.0,0.6461849212646484,0.030878374353051186,0.041542086750268936,5.741425037384033,,,0.0
0.0,rot_home,8.587231548062846e-05,0.0001327975098774914,0.007517931408074219,1.6706429960322566e-05,1.5367921150755137e-05,17.413677351141814,26.90913442347664,41.714202030561864,6.825,28,655.051513671875,5.738679885864258,0.0,0.0,1.3089754581451416,0.03519609197974205,0.0372772216796875,5.740992546081543,,,0.0
0.005,near_singular,0.2871101023629308,0.6245020776987076,0.6748723099008203,0.09798429161310196,0.23715029656887054,6.781557648985957,9.319327547564171,9.737144981045276,2.175,0,0.4969521462917328,0.3944516181945801,0.0,0.0,0.5468025207519531,0.008645623922348022,0.022105224430561066,5.741409778594971,,,0.0
0.005,reach_limit,0.987148960120976,6.8260435946285725,26.753420010209084,0.1011466234922409,0.7142384648323059,7.2741081183388205,13.154767375090149,36.52239200891927,4.6883333333333335,8,633.1911010742188,5.871159076690674,0.0,0.0,0.3810427188873291,0.01706826128065586,0.02972337044775486,-127.5645523071289,120.0,0.011530434712767601,0.02
0.005,teleop_grasp_yaw,20.439859479665756,38.508202880620956,38.591254502534866,9.137889862060547,18.687458038330078,32.9832970436352,65.0577819091268,106.33685998618603,24.38,11,791.912109375,25.16975975036621,0.0,0.51,-9.059906005859375e-06,0.01677624136209488,0.025445275008678436,-69.39849090576172,,,0.5766666666666667
0.005,self_fold,4.910232499241829,43.13134029507637,46.34428769350052,0.15593688189983368,1.1011860370635986,8.44526178688587,12.751632404979315,59.5784509787336,3.065,12,4714.26025390625,54.056907653808594,0.0,0.01,-2.86102294921875e-06,0.003011084860190749,0.033267900347709656,-133.25257873535156,,,0.13
