form,margin,weight,trajectory,pos_p95_mm,pos_max_mm,clear_min_mm,viol_frac,dev_rms_mm,dev_max_mm,solve_ms_med,solve_ms_p95,solve_ms_max,iters_mean,nonconv
soft,0.015,10.0,bimanual_parallel,0.000126238073894449,0.0001961042423835841,17.083133697509766,0.0,0.0,0.0,4.5748135016765445,8.538254743325501,14.006544020958245,3.8261538461538462,0.0
soft,0.015,10.0,bimanual_tight,0.046862546988247045,0.047065413552913035,10.09421443939209,0.0,0.03702939674258232,0.0470452681183815,4.368030495243147,9.164495859295128,15.174455009400845,3.875384615384615,0.0
soft,0.015,10.0,bimanual_handoff,0.00011198796255404661,0.00017502221030316775,14.77194595336914,0.0,8.217622234951705e-05,0.00027929741190746427,4.349188006017357,11.71040000626817,14.857983973342925,4.015238095238095,0.0
soft,0.015,10.0,arms_converge,5.491325225714503,7.205854527157302,-28.203115463256836,0.6254545454545455,3.049687385559082,7.205882549285889,12.335973035078496,66.98601786629297,83.32218398572877,23.918181818181818,0.04727272727272727
soft,0.015,10.0,self_fold,41.894099750680475,42.38035730434037,17.08319091796875,0.0,0.03548534959554672,0.3483794629573822,5.551831040065736,62.629569630371364,76.39493298484012,22.345,0.043333333333333335
soft,0.015,10.0,teleop_grasp,47.725177221948556,51.747314874895146,16.90390968322754,0.0,0.03819359838962555,0.4944923520088196,5.5081379832699895,30.931379942921932,50.954629958141595,11.19,0.0
soft,0.015,30.0,bimanual_parallel,0.000126238073894449,0.0001961042423835841,17.083133697509766,0.0,0.0,0.0,4.446394537808374,8.910428764647794,14.302739989943802,3.8261538461538462,0.0
soft,0.015,30.0,bimanual_tight,0.2959393770039057,0.29612600052807697,10.589179039001465,0.0,0.23389078676700592,0.2961532473564148,4.385597509099171,9.43726255209185,14.910108991898596,4.0661538461538465,0.0
soft,0.015,30.0,bimanual_handoff,0.00011225035812402302,0.00015614689588213691,14.908615112304688,0.0,8.345057722181082e-05,0.00024073563690762967,4.349238995928317,10.874366178177297,17.715697991661727,4.013333333333334,0.0
soft,0.015,30.0,arms_converge,18.833920556180427,30.714626828462254,-13.730667114257812,0.6,12.304201126098633,30.71465301513672,10.078343999339268,67.78019214398228,113.0925309844315,25.54,0.0890909090909091
soft,0.015,30.0,self_fold,41.88955264908025,42.345850582851554,14.240428924560547,0.0,0.038538604974746704,0.28145089745521545,5.669684498570859,65.78455348208081,77.65912497416139,22.733333333333334,0.051666666666666666
soft,0.015,30.0,teleop_grasp,47.725177221948556,51.747314874895146,16.90390968322754,0.0,0.03819359838962555,0.4944923520088196,5.474125035107136,30.17825328279287,51.34022003039718,11.19,0.0
soft,0.015,100.0,bimanual_parallel,0.000126238073894449,0.0001961042423835841,17.083133697509766,0.0,0.0,0.0,4.544400988379493,8.617535297526015,14.036616019438952,3.8261538461538462,0.0
soft,0.015,100.0,bimanual_tight,0.9889625779295873,0.9901168966514567,11.970232963562012,0.0,0.7823699116706848,0.9901113510131836,4.494291497394443,9.32120110373944,13.989244995173067,4.130769230769231,0.0
soft,0.015,100.0,bimanual_handoff,0.00011482836199012809,0.00020147229871182533,14.952596664428711,0.0,8.511119085596874e-05,0.0002788747369777411,4.348594986367971,10.998361604288219,17.84936396870762,3.9961904761904763,0.0
soft,0.015,100.0,arms_converge,97.72521335791367,97.72634986160537,0.8083227872848511,0.0,60.981353759765625,97.72637176513672,27.888786513358355,49.225525546353296,68.5627399943769,30.612727272727273,0.0018181818181818182
soft,0.015,100.0,self_fold,41.88788475594896,42.3432817328821,15.552245140075684,0.0,0.032365832477808,0.27872371673583984,5.580390483373776,65.65562167670578,74.10418399376795,23.881666666666668,0.04833333333333333
soft,0.015,100.0,teleop_grasp,47.725177221948556,51.747314874895146,16.90390968322754,0.0,0.03819359838962555,0.4944923520088196,5.478542007040232,31.14856486790814,51.17063596844673,11.19,0.0
