weight,trajectory,pos_mm_mean,pos_mm_p95,pos_mm_max,ori_deg_mean,ori_deg_p95,solve_ms_mean,solve_ms_p95,solve_ms_max,iters_mean,config_jumps,jerk_rms,vel_max,nonconverged_frac,limit_violation_frac,limit_margin_min,manip_hands_min,manip_hands_mean,self_clearance_min_mm,recovery_ms,end_pos_err_mm,miss_frac
2.0,teleop_grasp,0.29855643515475094,2.445378340780735,2.6041343808174133,3.236274242401123,26.27503776550293,0.7752073746329794,1.4649260527221488,2.548651013057679,9.506666666666666,13,13775.9404296875,84.20548248291016,0.0,0.12666666666666668,-9.298324584960938e-06,0.023488018661737442,0.029494483023881912,-40.681034088134766,,,0.0
2.0,teleop_grasp_side,5.91220548074034e-05,0.00010576317066579577,0.0028878689590783324,0.00018079685105476528,6.616421887883916e-05,0.6465303750398258,1.256184431258589,1.7010690062306821,5.15,1,556.9735717773438,3.3995249271392822,0.0,0.0,0.17308616638183594,0.02001286670565605,0.026634573936462402,-38.931251525878906,,,0.0
2.0,teleop_grasp_yaw,1.1048129526898265,2.1199218463152647,2.1463828161358833,12.694211959838867,24.709882736206055,1.1005465701843302,1.7605311964871362,2.08640203345567,22.53,11,822.9702758789062,25.530363082885742,0.0,0.5466666666666666,-9.775161743164062e-06,0.016895143315196037,0.025619987398386,-69.57875061035156,,,0.0
2.0,rot_home,6.719559308976386e-05,0.00013018514266605052,0.0008161553068930516,6.258289067773148e-05,6.342674168990925e-05,0.8733072403507928,1.2071249599102885,1.4479709789156914,8.838333333333333,28,530.445068359375,5.73866605758667,0.0,0.0,1.3089754581451416,0.03519609943032265,0.0372772216796875,5.74098539352417,,,0.0
2.0,rot_forward,0.06264044350245968,0.7095226319506764,0.995184644125402,0.7017527222633362,7.953055381774902,0.8300062927689092,1.130927540361881,2.9666770133189857,8.218333333333334,22,2002.6173095703125,25.072765350341797,0.0,0.095,-9.5367431640625e-06,0.034084632992744446,0.03801531344652176,5.741111755371094,,,0.0
2.0,trans_lissajous,6.613862524318392e-05,0.0001281846380152274,0.00022351741790771484,2.0305731595726684e-05,6.510652019642293e-05,0.9264935684364496,1.280455896630883,2.4745509726926684,9.773333333333333,18,163.24620056152344,15.300154685974121,0.0,0.0,0.6461840867996216,0.03087829239666462,0.041542086750268936,5.741425037384033,,,0.0
5.0,teleop_grasp,1.7706890357658267,14.302721247076988,15.328139998018742,3.065356969833374,24.57801055908203,0.7899584431046,1.6252642468316483,2.617082034703344,10.896666666666667,13,13756.267578125,84.45460510253906,0.0,0.13,-9.775161743164062e-06,0.023516857996582985,0.029490385204553604,-40.68118667602539,,,0.09666666666666666
5.0,teleop_grasp_side,7.88534393336704e-05,0.0001087376446662347,0.004874879323324421,4.66261881229002e-05,2.2088644982432015e-05,0.6053471105406061,1.0661704320227727,1.5718859503977,4.423333333333333,1,1179.061767578125,5.380780220031738,0.0,0.0,0.17308616638183594,0.02001287043094635,0.02663457952439785,-38.93130111694336,,,0.0
5.0,teleop_grasp_yaw,6.418340373784304,12.13320903480053,12.246126309037209,11.7129487991333,23.15032386779785,1.2294400108900543,2.270295869675465,3.048600978218019,24.756666666666668,11,823.4791870117188,25.505191802978516,0.0,0.38333333333333336,-9.5367431640625e-06,0.01687970757484436,0.025607015937566757,-69.57990264892578,,,0.5
5.0,rot_home,7.51233031337506e-05,0.00012744290245336742,0.0038240395952016115,3.032597123819869e-05,3.030050720553845e-05,0.7997748681615727,1.1434218002250418,1.4856979832984507,7.591666666666667,28,581.9868774414062,5.738814830780029,0.0,0.0,1.3089756965637207,0.035196103155612946,0.0372772216796875,5.74098539352417,,,0.0
