weight,trajectory,pos_mm_mean,pos_mm_p95,pos_mm_max,ori_deg_mean,ori_deg_p95,solve_ms_mean,solve_ms_p95,solve_ms_max,iters_mean,config_jumps,jerk_rms,vel_max,nonconverged_frac,limit_violation_frac,limit_margin_min,manip_hands_min,manip_hands_mean,self_clearance_min_mm,recovery_ms,end_pos_err_mm,miss_frac
0.0,trans_y,6.202878921612864e-05,0.00012644053981603065,0.00019140888696256297,7.114782420103438e-06,1.536792296974454e-05,0.8256394776205221,1.106970745604485,1.6695720260031521,6.228,71,8.392830848693848,3.2659687995910645,0.0,0.0,1.46532142162323,0.04435126110911369,0.044842012226581573,5.741417407989502,,,0.0
0.0,trans_lissajous,6.474148506185884e-05,0.00012731557319511921,0.00020267771105864085,7.1358690547640435e-06,1.4589287275157403e-05,0.830537966491344,1.1027709202608094,1.5870790230110288,6.56,18,162.4285125732422,15.292829513549805,0.0,0.0,0.6461849212646484,0.030878374353051186,0.041542086750268936,5.741425037384033,,,0.0
0.0,rot_home,8.587231548062846e-05,0.0001327975098774914,0.007517931408074219,1.6706429960322566e-05,1.5367921150755137e-05,0.787939798028674,1.1493713740492233,1.9563090172596276,6.825,28,655.051513671875,5.738679885864258,0.0,0.0,1.3089754581451416,0.03519609197974205,0.0372772216796875,5.740992546081543,,,0.0
0.0,teleop_grasp,6.222651340067387,47.72350192070007,51.747310906648636,2.6834027767181396,20.513574600219727,0.9627920344549542,2.1903847926296294,3.258868004195392,11.19,13,13569.869140625,84.26253509521484,0.0,0.11666666666666667,-9.775161743164062e-06,0.023082925006747246,0.029427776113152504,-40.6811637878418,,,0.16666666666666666
0.0,jitter_teleop,6.2252553179860115,49.009427428245544,53.76092717051506,2.6886422634124756,21.2805233001709,1.0004175875413541,2.3772606073180214,5.1299629849381745,13.37,28,29982.314453125,85.04170227050781,0.0033333333333333335,0.15,-9.775161743164062e-06,0.022158201783895493,0.029441382735967636,-49.09014892578125,,,0.16666666666666666
0.0,reach_limit,0.9638175833970308,6.788214202970266,26.719894260168076,0.10160768777132034,0.7358070015907288,0.5917266480779896,0.8689925336511806,1.2287550489418209,5.586666666666667,8,839.1546630859375,7.4102702140808105,0.0,0.0,0.3814743757247925,0.017068885266780853,0.029700014740228653,-127.08574676513672,120.0,2.3853499442338943e-05,0.02
0.02,trans_y,0.06296002538874745,0.2561126311775297,0.2732836583163589,0.03257938101887703,0.13174356520175934,0.756505806154261,0.9473416372202337,1.3732420047745109,6.1786666666666665,64,23.391935348510742,3.263312578201294,0.0,0.0,1.4653213024139404,0.04435126855969429,0.04484201967716217,5.741417407989502,,,0.0
0.02,trans_lissajous,3.545087529346347,10.600307025015354,155.07760643959045,0.8828611373901367,7.057762622833252,1.1360992235778313,3.4914857969852138,4.786224977578968,19.32777777777778,15,1635.9573974609375,29.585857391357422,0.08222222222222222,0.10777777777777778,-0.004548311233520508,0.02299162745475769,0.040785495191812515,-28.897390365600586,,,0.05277777777777778
0.02,rot_home,0.03888355058734305,0.20904885604977608,0.5146441399119794,0.01716598868370056,0.09502728283405304,0.7331723886697242,0.9910591790685429,1.432929013390094,6.281666666666666,30,349.6932067871094,5.7272233963012695,0.0,0.0,1.30897855758667,0.03519611805677414,0.037277232855558395,5.740977764129639,,,0.0
0.02,teleop_grasp,0.07808012014720589,0.22185841226018965,2.414346905425191,0.03764799237251282,0.11186260730028152,0.6530328453906501,1.0084603854920715,1.3264910085126758,4.2,5,203.53048706054688,7.649111270904541,0.0,0.0,0.4385327100753784,0.02336423099040985,0.0294165201485157,-40.679988861083984,,,0.0
0.02,jitter_teleop,0.16900849004741758,0.8716938318684697,4.375327844172716,0.07990574836730957,0.434856116771698,0.6568736996268854,0.8832151943352073,1.5715970075689256,4.65,2,10783.791015625,16.007810592651367,0.0,0.0,0.41556572914123535,0.022545775398612022,0.029430538415908813,-49.05796432495117,,,0.0
0.02,reach_limit,0.9837013203650713,6.7864516749978065,26.71944722533226,0.10446628928184509,0.7355179786682129,0.6177139721694402,0.8751361980102952,1.6501389909535646,5.765,10,665.3087158203125,7.28985071182251,0.0,0.0,0.3795933723449707,0.016974491998553276,0.02968454360961914,-127.57559204101562,120.0,1.535976662125904e-05,0.02
0.05,trans_y,0.3886317426804453,1.5299813821911812,1.6624208074063063,0.201078861951828,0.7882524132728577,0.707680647339051,0.8952809876063839,1.262540987227112,5.3533333333333335,52,15.511911392211914,3.2358591556549072,0.0,0.0,1.4653208255767822,0.04435126855969429,0.044842202216386795,5.741417407989502,,,0.0
0.05,trans_lissajous,0.37950952537357807,1.184176653623581,5.998509470373392,0.1814742088317871,0.6549232602119446,0.7307751917202646,0.9383100492414086,1.2102319742552936,6.136666666666667,9,33.62745666503906,5.939215660095215,0.0,0.0,0.5510284900665283,0.03090045601129532,0.04153977334499359,2.8949527740478516,,,0.0
