ori_w,trajectory,pos_mm_p95,pos_mm_max,ori_deg_p95,ori_deg_max,config_jumps
2.0,teleop_grasp,0.3636919427663088,0.3909626684617251,3.213951349258423,3.4191298484802246,0
2.0,teleop_grasp_side,0.49705314449965954,0.5204894114285707,3.3698556423187256,3.535391330718994,0
2.0,teleop_grasp_yaw,0.3891781088896096,0.4123381804674864,2.6737709045410156,2.799445152282715,0
2.0,rot_forward,0.5963931907899678,2.76370020583272,8.226571083068848,19.262737274169922,4
2.0,rot_home,0.9666862897574902,1.6328052151948214,10.400778770446777,17.54088020324707,13
2.0,trans_lissajous,0.7769307121634483,1.41355418600142,8.699530601501465,13.346610069274902,0
5.0,teleop_grasp,0.5649133818224072,0.8528244798071682,0.9988043308258057,1.5996428728103638,0
5.0,teleop_grasp_side,0.5074053769931197,0.5310396663844585,0.5467316508293152,0.5736056566238403,0
5.0,teleop_grasp_yaw,0.5306981620378792,0.7886940147727728,0.9003884792327881,1.4089090824127197,0
5.0,rot_forward,0.6829676567576826,10.08111983537674,1.4870048761367798,16.860713958740234,5
5.0,rot_home,1.2941474560648203,2.604326931759715,2.3227219581604004,4.476878643035889,23
5.0,trans_lissajous,1.1679683811962605,4.558503162115812,2.4566099643707275,7.959523677825928,5
10.0,teleop_grasp,1.0584319243207574,2.4374949280172586,0.5014081597328186,1.1773005723953247,0
10.0,teleop_grasp_side,0.5116498796269298,0.5339888157323003,0.13655775785446167,0.14429090917110443,0
10.0,teleop_grasp_yaw,0.9242527303285897,2.1565458737313747,0.42106324434280396,1.0110710859298706,0
10.0,rot_forward,1.0690338676795363,29.413066804409027,0.5866850018501282,13.178410530090332,11
10.0,rot_home,1.2921835295856,3.004763275384903,0.5811934471130371,1.2913354635238647,29
10.0,trans_lissajous,1.5464747557416558,7.704692427068949,0.830012857913971,3.5415210723876953,6
20.0,teleop_grasp,1.412789337337017,5.332965403795242,0.1763392686843872,0.6507384181022644,4
20.0,teleop_grasp_side,0.5103971343487501,0.5338375340215862,0.034268200397491455,0.03605557978153229,0
20.0,teleop_grasp_yaw,1.2458324199542403,4.606420174241066,0.14146628975868225,0.5445947051048279,4
20.0,rot_forward,1.148043549619615,14.877510257065296,0.1564931720495224,2.043663740158081,19
20.0,rot_home,1.449430244974792,3.147858427837491,0.16279052197933197,0.33833009004592896,29
20.0,trans_lissajous,1.668159500695765,15.282422304153442,0.2170438915491104,1.7554872035980225,10
40.0,teleop_grasp,1.4490715693682432,7.764976471662521,0.04548073559999466,0.2369040846824646,5
40.0,teleop_grasp_side,0.5118130939081311,0.5338647752068937,0.008554820902645588,0.009005095809698105,0
40.0,teleop_grasp_yaw,1.3985132100060582,6.555093452334404,0.043046899139881134,0.19505824148654938,5
40.0,rot_forward,1.086974865756929,17.727825790643692,0.037108857184648514,0.5960963368415833,16
40.0,rot_home,1.416212529875338,3.1852968968451023,0.03799014165997505,0.08566202223300934,29
40.0,trans_lissajous,1.7861194210126996,27.1415077149868,0.06242325156927109,0.7493520379066467,10
