config,pair,cat,mesh,pyroki,tight,spheres
teleop_grasp_end,rightgripper_base|leftgripper_base,fork/inter-arm,0.2500000638012499,0.2267267405986786,0.0913618803024292,0.2500000621166192
teleop_grasp_end,rightright_finger_link|leftleft_finger_link,fingers/inter-arm,0.2394144306349486,0.14421424269676208,0.19098302721977234,0.23460067800645773
teleop_grasp_end,rightleft_finger_link|leftright_finger_link,fingers/inter-arm,0.5063235444556801,0.4057435691356659,0.46230262517929077,0.5036410574636538
teleop_grasp_end,rightright_finger_link|middlecamera_body,fingers/inter-arm,0.22563596716837472,0.22222846746444702,0.1967531144618988,0.2527704809294872
teleop_grasp_end,leftgripper_base|middlecamera_body,fork/inter-arm,0.20502101010952853,0.11610297113656998,0.10841912031173706,0.2276887318772283
teleop_grasp_end,leftleft_finger_link|middlecamera_cover,fingers/inter-arm,0.22206267954893794,0.1850237399339676,0.1864302009344101,0.23181881527281906
teleop_grasp_end,rightbase_link|rightupper_forearm_link,plates/self,0.22540359010502947,0.04811456799507141,0.12258101999759674,0.25248034690263976
parked_hands,rightbase_link|rightupper_arm_link,plates/self,0.0372589497417199,-0.12808293104171753,-0.07734711468219757,0.05331324931680846
parked_hands,rightwrist_link|rightgripper_base,fork/self,-0.004847767519899603,-0.1106489822268486,-0.06980420649051666,0.0009224661255287821
parked_hands,rightlower_forearm_link|rightgripper_base,fork/self,0.0515301469468477,-0.04208932816982269,-0.028273992240428925,0.0524056022353812
parked_hands,rightbase_link|rightlower_forearm_link,plates/self,0.2642838197466175,0.06508868932723999,0.1664576530456543,0.27334181686276615
parked_hands,rightbase_link|rightwrist_link,plates/self,0.2983133722688277,0.12741297483444214,0.20683816075325012,0.30079560776541525
parked_hands,rightbase_link|rightgripper_base,fork/self,0.3159799450474245,0.14263075590133667,0.22203585505485535,0.3248527364715434
parked_hands,rightupper_arm_link|rightlower_forearm_link,arm-links/self,0.1621589520439839,0.05369257926940918,0.06805003434419632,0.13639636391456456
parked_hands,rightgripper_base|leftgripper_base,fork/inter-arm,0.5862553619421482,0.430640310049057,0.5099825859069824,0.5679782434025848
parked_hands,rightright_finger_link|leftleft_finger_link,fingers/inter-arm,0.4142073326081907,0.40752437710762024,0.36598172783851624,0.4170716276543521
parked_hands,rightleft_finger_link|leftright_finger_link,fingers/inter-arm,0.4142073602496295,0.407524436712265,0.365945428609848,0.4170716604316905
parked_hands,rightright_finger_link|middlecamera_body,fingers/inter-arm,0.2517212712941707,0.21792155504226685,0.1940002143383026,0.2537812054647389
parked_hands,leftgripper_base|middlecamera_body,fork/inter-arm,0.14210236995749814,0.06060370057821274,0.10484147071838379,0.13661362518857637
parked_hands,leftleft_finger_link|middlecamera_cover,fingers/inter-arm,0.11247739508285771,0.07564975321292877,0.06224072352051735,0.10897977889376159
parked_hands,rightbase_link|rightupper_forearm_link,plates/self,0.2525730135160708,-0.0018634200096130371,0.12445639073848724,0.2561757305271944
