config,pair,mesh_mm,pyroki_mm,tight_mm
home,rightbase_link|rightupper_arm_link,42.93599118898223,-128.84055078029633,-79.87231016159058
home,rightwrist_link|rightgripper_base,-4.847767603013188,-110.64895242452621,-70.29509544372559
home,rightlower_forearm_link|rightgripper_base,49.97948129705573,-39.71517086029053,-28.191901743412018
home,rightbase_link|rightlower_forearm_link,415.12703454654934,279.0968716144562,325.77282190322876
home,rightbase_link|rightwrist_link,486.19894267920756,349.25171732902527,401.2937545776367
home,rightbase_link|rightgripper_base,530.3006872963962,372.1040189266205,430.80735206604004
home,rightupper_arm_link|rightlower_forearm_link,180.1948940860811,155.51093220710754,138.1448209285736
home,rightgripper_base|leftgripper_base,186.25538962039124,30.640259385108948,110.15218496322632
home,rightright_finger_link|leftleft_finger_link,14.209421900263624,8.676320314407349,-34.010421484708786
home,rightleft_finger_link|leftright_finger_link,14.209446673434906,8.676350116729736,-34.03006121516228
home,rightright_finger_link|middlecamera_body,185.0861279676061,159.24577414989471,161.6620421409607
home,leftgripper_base|middlecamera_body,177.7682050450061,145.45708894729614,169.77034509181976
home,leftleft_finger_link|middlecamera_cover,210.58247284262353,137.14127242565155,183.7516576051712
home,rightbase_link|rightupper_forearm_link,339.6217668570723,121.18977308273315,222.88045287132263
self_fold_apex,rightbase_link|rightupper_arm_link,8.628168971530451,-158.4441512823105,-121.03855609893799
self_fold_apex,rightwrist_link|rightgripper_base,-4.84774880697334,-110.6489822268486,-70.29508054256439
self_fold_apex,rightlower_forearm_link|rightgripper_base,51.53618208471502,-42.09895431995392,-28.512760996818542
self_fold_apex,rightbase_link|rightlower_forearm_link,61.378816246589835,-156.87191486358643,-49.426570534706116
self_fold_apex,rightbase_link|rightwrist_link,83.84101765464378,-98.34055602550507,-10.311663150787354
self_fold_apex,rightbase_link|rightgripper_base,88.86717793868618,-79.22662794589996,-2.212837338447571
self_fold_apex,rightupper_arm_link|rightlower_forearm_link,-5.755094300124479,-124.5819479227066,-81.4209133386612
self_fold_apex,rightgripper_base|leftgripper_base,554.6953935424604,420.42312026023865,474.422812461853
self_fold_apex,rightright_finger_link|leftleft_finger_link,454.8744213372367,421.7595160007477,406.4441919326782
self_fold_apex,rightleft_finger_link|leftright_finger_link,454.7830345455749,421.6444790363312,406.42237663269043
self_fold_apex,rightright_finger_link|middlecamera_body,224.4445030159856,202.33601331710815,196.24736905097961
self_fold_apex,leftgripper_base|middlecamera_body,177.7682050450061,145.45708894729614,169.77034509181976
self_fold_apex,leftleft_finger_link|middlecamera_cover,210.58247284262353,137.14127242565155,183.7516576051712
self_fold_apex,rightbase_link|rightupper_forearm_link,64.33572265141169,-96.61908447742462,-68.07933002710342
arms_converge_apex,rightbase_link|rightupper_arm_link,43.18579310179661,-138.23625445365906,-87.98322081565857
arms_converge_apex,rightwrist_link|rightgripper_base,-4.846025823176087,-109.42620038986206,-69.88412141799927
arms_converge_apex,rightlower_forearm_link|rightgripper_base,48.854054669828976,-38.60125690698624,-27.70145982503891
arms_converge_apex,rightbase_link|rightlower_forearm_link,470.3645778145664,373.61493706703186,382.3186755180359
arms_converge_apex,rightbase_link|rightwrist_link,558.6339288424584,443.50168108940125,476.32235288619995
arms_converge_apex,rightbase_link|rightgripper_base,616.8807633990496,469.2419469356537,509.1509222984314
arms_converge_apex,rightupper_arm_link|rightlower_forearm_link,174.74973141393195,135.04117727279663,128.94360721111298
arms_converge_apex,rightgripper_base|leftgripper_base,-7.836730055827345,-106.64085298776627,-166.87141358852386
arms_converge_apex,rightright_finger_link|leftleft_finger_link,100.1483715760796,87.69579976797104,48.38360846042633
arms_converge_apex,rightleft_finger_link|leftright_finger_link,100.14833466230444,87.69574016332626,48.35199564695358
arms_converge_apex,rightright_finger_link|middlecamera_body,182.29294413844954,156.50583803653717,165.8478081226349
arms_converge_apex,leftgripper_base|middlecamera_body,169.2693918434383,131.83939456939697,155.14062345027924
